serial.no,sampleID,mean,std_dev,kurtosis,rms
1,2_1,2036.9190476190477,252.5409379009866,-0.8523159821005186,2052.507189245573
2,2_2,2033.9333333333334,146.34462492921472,-0.9274519210859009,2039.1888964090833
3,2_3,2045.2247619047619,150.8301246260267,-0.7762195517027886,2050.7762481558048
4,3_1,2004.3904761904762,54.94393092299622,-0.9895123580415888,2005.1430320671936
5,3_2,2001.5742857142857,52.859154731127425,-0.9907533875446535,2002.2718049636471
6,3_3,2007.1571428571428,46.579188913673896,-1.1161182068038593,2007.6972839074929
7,6_1,1981.7857142857142,55.32648806644815,-0.934093247757966,1982.5574846646944
8,6_2,2037.1661904761904,74.56432454126005,-0.9260258565500257,2038.529685477116
9,6_3,2020.4785714285715,99.25093446532982,-1.182925442182193,2022.9136696265377
10,8_1,2035.307619047619,64.90214453298965,-0.902085408917658,2036.3416674680766
11,8_2,2014.73,58.24195851188912,-1.1193592053020414,2015.571254839018
12,8_3,2021.9390476190476,58.93987294053514,-0.9948101927144899,2022.7975100505405
13,9_1,2021.0033333333333,48.02165709947582,-1.0194043667238433,2021.5735096112396
14,9_2,2003.8909523809523,43.44202067811786,-0.7934830021640447,2004.3615590815468
15,9_3,2010.8509523809523,47.26407193121856,-0.9914516484663611,2011.4060707446847
16,10_1,2007.8219047619048,65.08596357724852,-1.1617402742662133,2008.8760456202037
17,10_2,2013.4547619047619,61.62777158690294,-1.0279948425687435,2014.397242825943
18,10_3,1996.3790476190477,65.12169235878197,-1.2012928026898975,1997.4403913866508
19,11_1,2007.5142857142857,69.12839436714279,-0.3560864311183427,2008.70357859657
20,11_2,1987.7419047619048,63.80142084431714,-0.9674539232463162,1988.7650848848746
21,11_3,1945.4871428571428,128.65749918911706,0.7014273941954774,1949.7346211362055
22,12_1,2043.1304761904762,98.28606062877266,-0.7751161826490338,2045.49204163227
23,12_2,2015.1614285714286,92.99597156262591,-0.909027279582741,2017.3050626304107
24,12_3,1983.13,90.05265388456442,-0.5318124789001821,1985.1725909135168
25,13_1,2004.554761904762,188.54556621540027,-0.9263864600315155,2013.3981960144608
